Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Seleccione el tipo de gestión,Cantidad de pantallas,Cantidad de butacas,Referente
"Cine Teatro Español","Calle 9 entre 29 Y 30","25 de Mayo","25 de Mayo (Buenos Aires)","Buenos Aires","","","6660","s/d","s/d","https://www.instagram.com/teatro_espanol/","","-35.43048800000000000000","-60.17068600000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","500",""
"Cine Santa Rosa De Lima","Santa Rosa De Lima 170","30 de Agosto","Trenque Lauquen (Buenos Aires)","Buenos Aires","","","6405","s/d","s/d","https://www.trenquelauquen.gov.ar","","-36.27850800000000000000","-62.54435500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","410",""
"Tu Cine 9 de Julio","Robbio 840","9 de Julio","9 de Julio (Buenos Aires)","Buenos Aires","","","6500","s/d","s/d","http://9dejulio.tucine.com.ar/","","-35.44626480000000000000","-60.88578870000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","165",""
"Cinema Adrogue","Hipolito Yrigoyen 13200","Almirante Brown","Almirante Brown (Buenos Aires)","Buenos Aires","","","1846","s/d","s/d","https://www.cinemaadrogue.com/","","-34.80811000000000000000","-58.40240000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","2505",""
"CPM Paseo Adrogue","Segui 699","Almirante Brown","Almirante Brown (Buenos Aires)","Buenos Aires","","","1846","s/d","s/d","https://cpmcines.com/","","-34.80009700000000000000","-58.39675300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","710",""
"Cinemark Alto Avellaneda","Guemes 897","Avellaneda","Avellaneda (Buenos Aires)","Buenos Aires","","","1870","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.67799300000000000000","-58.36723000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1275",""
"Cinepolis Avellaneda","Autopista Bs. As. - La Plata Km 6","Avellaneda","Avellaneda (Buenos Aires)","Buenos Aires","","","1870","s/d","s/d","https://www.cinepolis.com.ar/","","-34.68020600000000000000","-58.33277700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","16","3485",""
"Flix Cinema","Bolivar 416","Azul","Azul (Buenos Aires)","Buenos Aires","","","7300","s/d","s/d","http://azul.flixcinema.com.ar/","","-36.77836000000000000000","-59.86478300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","160",""
"Cine Vision","Belgrano 153","Bahia Blanca","Bahia Blanca (Buenos Aires)","Buenos Aires","","","8000","s/d","s/d","https://www.cinesdelcentrobb.com.ar/","","-38.71814900000000000000","-62.26212200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","907",""
"Cine Visual","Chiclana 452","Bahia Blanca","Bahia Blanca (Buenos Aires)","Buenos Aires","","","8000","s/d","s/d","http://www.cinesdelcentrobb.com.ar/","","-38.72210300000000000000","-62.26150700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","501",""
"Cinemacenter Bahia Blanca","Av. Sarmiento 2153","Bahia Blanca","Bahia Blanca (Buenos Aires)","Buenos Aires","","","8000","s/d","s/d","http://www.cinemacenter.com.ar/","","-38.69877700000000000000","-62.24404300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","7","1501",""
