,Provincia,Año_2001,Año_2002,Año_2003,Año_2004,Año_2005,Año_2006,Año_2007,Año_2008,Año_2009,Año_2010,Año_2011,Año_2012,Año_2013,Año_2014,Año_2015,Año_2016,Año_2017,Año_2018,Año_2019,Año_2020
0,CABA,10112714,9981413,10505323,10958952,11592194,10823683,10176667,9922874,9196314,10556993,11140907,11664622,11210616,10866807,11677534,11367478,10202902,10054942,10268933,1970755
1,Buenos Aires,13350439,13502768,13458390,19637877,14332805,13727980,13270625,12919859,12920146,15062115,17084448,18994049,19516694,18345342,21219831,20512308,20258124,18742460,19621646,3633553
2,Catamarca,122034,132101,157489,208139,182697,158192,166646,176575,134704,105011,382300,213862,253441,223662,262887,263339,302760,275398,304535,50466
3,Cordoba,2383046,2549535,2780394,3872820,3523958,3325049,3137684,3196671,3048473,3584703,3793280,4152413,4198853,3800712,4308154,4129849,4089077,3815893,4163563,765242
4,Corrientes,76404,91447,173504,291923,232454,225802,256023,377895,372776,427762,495204,512545,552531,502282,621941,601727,597672,534872,504715,92346
5,Chaco,86330,91242,78022,129989,112196,109867,105056,121389,184894,250845,316338,299410,328170,308031,337603,410956,469674,426201,429811,67690
6,Chubut,156278,199650,162868,415727,331082,342453,314790,268587,243848,304755,445284,418875,399041,375505,473949,430359,420895,370724,454678,85167
7,Entre Rios,59620,99859,105781,189450,88756,81342,79837,67170,33770,33994,69577,88069,107269,86906,429007,475230,400653,361463,332783,71251
8,Formosa,7104,11015,14310,5017,6014,4384,8437,511,12791,54487,30557,101417,57377,5722,75480,76893,26167,117581,122450,15293
9,Jujuy,71556,77597,90511,145689,76105,76148,102325,81117,66202,107919,147343,160252,175892,234269,207501,248077,227662,206641,250178,44726
10,La Pampa,51199,75675,34694,203795,165694,172388,151137,154420,139968,56425,184438,212891,249750,213744,274752,284748,257450,228996,225472,44486
11,La Rioja,4285,11008,6276,65485,53453,32120,20589,9476,0,1330,4845,163366,246099,240870,322203,290643,300237,233637,248700,42067
12,Mendoza,1028506,1013758,1138870,1475133,1168219,1029602,1108450,1029773,1026466,1440885,1652102,1739538,2019640,1998685,2364451,2111220,1878330,1871854,2114164,385394
13,Misiones,43945,41077,43363,71477,27573,17470,140248,131861,116563,185885,167293,228198,257368,217964,268193,245705,277367,249320,262095,47135
14,Neuquen,440961,486488,568546,734308,565533,529989,525181,501577,521095,611157,715321,692442,765255,766091,1022546,1051608,1029861,1099575,1326878,232466
15,Rio Negro,80148,116717,148764,325868,242867,237106,183653,132215,136258,98250,47991,183219,197875,154612,267424,285910,365628,349110,364257,58535
16,Salta,390481,411350,448015,705836,589341,487852,518159,512247,504678,662694,840156,846432,851330,807654,960717,1086722,1176408,1054900,1118399,224149
17,San Juan,46012,40863,34909,551969,347027,311805,262763,242116,179473,130584,205113,366063,502525,478351,605538,560829,623007,567842,597116,107368
18,San Luis,141560,182022,191854,323793,295491,274085,217746,252151,189263,200822,314282,342879,366681,354144,437864,410313,411180,395360,396659,66214
19,Santa Cruz,22734,22060,2529,80056,78293,89193,37323,42390,45105,68777,94377,79349,112674,92416,216247,258398,273547,245359,277302,41912
20,Santa Fe,2124344,2157303,2644978,3218366,2882453,3014356,2821784,2768802,2801017,3215679,3386123,3842569,4010062,3704808,4195045,4118321,3833831,3457650,3474795,645996
21,Santiago del Estero,172845,147052,163733,253283,235778,233710,194418,193298,164386,317237,210205,208808,289287,272755,337132,389736,394328,329842,359915,62857
22,Tucuman,95817,117400,118766,165524,119588,146167,159985,146512,121758,93047,240298,217325,267819,250819,266569,278758,256525,227543,242870,41236
23,"Tierra del Fuego, Antartida e Islas Atlantico Sur",277908,324367,306892,477221,359124,317076,323390,455089,502557,674419,639963,755617,937485,851509,1071745,1007119,1025150,942474,1029924,181835
